@K;hit_ratio;ndcg;Precision;MAP;AUC;
1;0.17313733;0.17313733;0.17313733;0.17313733;0.7589758486454665;
2;0.21723835;0.21723835;0.10861917;0.19518784;;
3;0.25832391;0.24316045;0.08610797;0.20888303;;
4;0.29111697;0.25955698;0.07277924;0.21708129;;
5;0.32252796;0.27308496;0.06450559;0.22336349;;
6;0.3495414;0.28353518;0.0582569;0.22786573;;
7;0.37379068;0.29217295;0.05339867;0.23132991;;
8;0.39753738;0.30008852;0.04969217;0.23429825;;
9;0.41902249;0.30686632;0.04655805;0.23668548;;
10;0.43899987;0.31288011;0.04389999;0.23868322;;
